library_index,row_index,label,scenario_class,theta,dv_kms,term_reason,success,min_rM,min_corridor_dist,preview_path
0,1810,2,bad,0.6346651825433925,3.0043478260869563,invalid_preflyby_earth_return,False,0.9869157187750116,,C:\Users\willi\MEX\PPO LSTM CR3BP\PPO LSTM CR3BP V4\rough_scenario_classification\handoff_library_previews\libidx_000000__row_001810__label_2__invalid_preflyby_earth_return.png
1,1825,2,bad,1.5866629563584815,3.0043478260869563,invalid_preflyby_earth_return,False,1.0020946520780103,,C:\Users\willi\MEX\PPO LSTM CR3BP\PPO LSTM CR3BP V4\rough_scenario_classification\handoff_library_previews\libidx_000001__row_001825__label_2__invalid_preflyby_earth_return.png
2,1854,2,bad,3.42719198573432,3.0043478260869563,invalid_preflyby_earth_return,False,0.4835412233714885,,C:\Users\willi\MEX\PPO LSTM CR3BP\PPO LSTM CR3BP V4\rough_scenario_classification\handoff_library_previews\libidx_000002__row_001854__label_2__invalid_preflyby_earth_return.png
3,1856,2,bad,3.5541250222429985,3.0043478260869563,invalid_preflyby_earth_return,False,0.4670958567239544,,C:\Users\willi\MEX\PPO LSTM CR3BP\PPO LSTM CR3BP V4\rough_scenario_classification\handoff_library_previews\libidx_000003__row_001856__label_2__invalid_preflyby_earth_return.png
4,1871,2,bad,4.506122796058087,3.0043478260869563,invalid_preflyby_earth_return,False,0.7879463660037588,,C:\Users\willi\MEX\PPO LSTM CR3BP\PPO LSTM CR3BP V4\rough_scenario_classification\handoff_library_previews\libidx_000004__row_001871__label_2__invalid_preflyby_earth_return.png
5,1876,2,bad,4.823455387329783,3.0043478260869563,invalid_preflyby_earth_return,False,0.9561972340909808,,C:\Users\willi\MEX\PPO LSTM CR3BP\PPO LSTM CR3BP V4\rough_scenario_classification\handoff_library_previews\libidx_000005__row_001876__label_2__invalid_preflyby_earth_return.png
6,1881,2,bad,5.14078797860148,3.0043478260869563,invalid_preflyby_earth_return,False,0.99131066773433,,C:\Users\willi\MEX\PPO LSTM CR3BP\PPO LSTM CR3BP V4\rough_scenario_classification\handoff_library_previews\libidx_000006__row_001881__label_2__invalid_preflyby_earth_return.png
7,1914,2,bad,0.8885312555607496,3.010144927536232,invalid_preflyby_earth_return,False,0.9903279168283688,,C:\Users\willi\MEX\PPO LSTM CR3BP\PPO LSTM CR3BP V4\rough_scenario_classification\handoff_library_previews\libidx_000007__row_001914__label_2__invalid_preflyby_earth_return.png
8,1916,2,bad,1.015464292069428,3.010144927536232,invalid_preflyby_earth_return,False,0.9922817057899228,,C:\Users\willi\MEX\PPO LSTM CR3BP\PPO LSTM CR3BP V4\rough_scenario_classification\handoff_library_previews\libidx_000008__row_001916__label_2__invalid_preflyby_earth_return.png
9,1947,2,bad,2.982926357953945,3.010144927536232,invalid_preflyby_earth_return,False,0.6366294887237176,,C:\Users\willi\MEX\PPO LSTM CR3BP\PPO LSTM CR3BP V4\rough_scenario_classification\handoff_library_previews\libidx_000009__row_001947__label_2__invalid_preflyby_earth_return.png
10,1980,2,bad,5.07732146034714,3.010144927536232,invalid_preflyby_earth_return,False,0.9923049414761632,,C:\Users\willi\MEX\PPO LSTM CR3BP\PPO LSTM CR3BP V4\rough_scenario_classification\handoff_library_previews\libidx_000010__row_001980__label_2__invalid_preflyby_earth_return.png
11,2000,2,bad,0.0,3.0159420289855072,invalid_preflyby_earth_return,False,0.9824418606131649,,C:\Users\willi\MEX\PPO LSTM CR3BP\PPO LSTM CR3BP V4\rough_scenario_classification\handoff_library_previews\libidx_000011__row_002000__label_2__invalid_preflyby_earth_return.png
